"category","bathrooms","bedrooms","has_photo","price","price_type","square_feet","cityname","state","latitude","longitude","source","time","location","region","AC","Alarm","Basketball","Cable or Satellite","Clubhouse","Dishwasher","Doorman","Elevator","Fireplace","Garbage Disposal","Gated","Golf","Gym","Hot Tub","Internet Access","Luxury","Parking","Patio/Deck","Playground","Pool","Refrigerator","Storage","Tennis","TV","View","Washer Dryer","Wood Floors","Cats","Dogs","zip"
"apartment",0,0,"Thumbnail",790,"Monthly",101,"Washington","DC",38.9057,-76.9861,"RentLingo",2019-12-26 11:23:35,"Washington DC","South Atlantic",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"20002"
"apartment",0,1,"Thumbnail",425,"Monthly",106,"Evansville","IN",37.968,-87.6621,"RentLingo",2019-12-22 12:17:43,"Evansville IN","East North Central",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"47712"
"apartment",1,0,"Thumbnail",1390,"Monthly",107,"Arlington","VA",38.891,-77.0816,"RentLingo",2019-12-26 11:23:30,"Arlington VA","South Atlantic",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"22201"
"apartment",1,0,"Thumbnail",925,"Monthly",116,"Seattle","WA",47.616,-122.3275,"RentLingo",2019-12-18 11:15:43,"Seattle WA","Pacific",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"98122"
"apartment",0,0,"Thumbnail",880,"Monthly",125,"Arlington","VA",38.8738,-77.1055,"RentLingo",2019-12-26 11:23:21,"Arlington VA","South Atlantic",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"22203"
"apartment",1,0,"Thumbnail",2475,"Monthly",130,"Manhattan","NY",40.7629,-73.9885,"Listanza",2019-12-25 16:03:04,"Manhattan NY","Middle Atlantic",FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"10019"
"apartment",0,0,"Thumbnail",1800,"Monthly",132,"Venice","CA",33.9932,-118.4609,"RentLingo",2019-12-26 11:24:21,"Venice CA","Pacific",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"90291"
"apartment",0,0,"Thumbnail",840,"Monthly",136,"Washington","DC",38.9328,-77.0297,"RentLingo",2019-12-26 11:23:13,"Washington DC","South Atlantic",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"20010"
"apartment",1,0,"Thumbnail",1495,"Monthly",138,"San Francisco","CA",37.7599,-122.4379,"RentLingo",2019-12-26 11:05:13,"San Francisco CA","Pacific",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"94114"
"apartment",0,0,"Thumbnail",890,"Monthly",141,"Washington","DC",38.9118,-77.0132,"RentLingo",2019-12-26 11:23:44,"Washington DC","South Atlantic",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"20001"
